english,translate,layer
Mini Beige Warclaw Cub,Мини-бежевый детёныш боевого когтя,pn_names
Mini Berg,Мини-Берг,pn_names
Mini Black and Tan Shiba Inu,Мини-чёрно-рыжая сиба-ину,pn_names
Mini Black Bear Cub,Мини-чёрный медвежонок,pn_names
Mini Black Griffon Hatchling,Мини-чёрный птенец грифона,pn_names
Mini Black Jackal Pup,Мини-чёрный щенок шакала,pn_names
Mini Black Labrador,Мини-чёрный лабрадор,pn_names
Mini Black Llama,Мини-чёрная лама,pn_names
Mini Black Moa,Мини-чёрная моа,pn_names
Mini Black Skimmer Pup,Мини-детёныш,pn_names
Mini Black Springer Kit,Мини-детёныш,pn_names
Mini Black Tigris Cub,Мини-детёныш,pn_names
Mini Black Wind Rider,Мини-детёныш,pn_names
Mini Blazing Shiba Inu,Мини-огненный шиба-ину,pn_names
Mini Blazing Tigris Cub,Мини-детёныш,pn_names
Mini Bloodstone Rock,Мини-кровавый камень,pn_names
Mini Blue Bauble,Мини-синяя безделушка,pn_names
Mini Blue Catmander,Мини-синий кот-командир,pn_names
Mini Blue Crab,Мини-синий краб,pn_names
Mini Blue Guardian,Мини-голубой страж,pn_names
Mini Blue Jackal Pup,Мини-щенок голубого шакала,pn_names
Mini Blue Raptor Hatchling,маленький синий птенец-раптор,pn_names
Mini Blue Shiba Inu,Мини-голубая сиба-ину,pn_names
Mini Blue Skimmer Pup,Мини-детёныш голубого скиммера,pn_names
Mini Blue Skyscale Hatchling,Мини-детёныш голубого скайскейла,pn_names
Mini Blue Tigris Cub,Мини-тигрёнок голубого тигра,pn_names
Mini Blue Turtle Hatchling,Мини-детёныш голубой черепахи,pn_names
Mini Bomb,Мини-бомба,pn_names
Mini Bone Soldier,Мини-костяной солдат,pn_names
Mini Bonebreaker,Мини-костолом,pn_names
Mini Boneskinner,Мини-кожедёр,pn_names
Mini Brackish Skale,Мини-солоноватый скаль,pn_names
Mini Braham Eirsson,Мини-Брейхам Эйрссон,pn_names
Mini Branded Griffon,Мини-грифон,pn_names
Mini Branded Jackal,Мини-шакал,pn_names
Mini Branded Mounts Pack,Набор,pn_names
Mini Branded Raptor,Мини-раптор,pn_names
Mini Branded Riftcrawler,Мини-брешеход,pn_names
Mini Branded Riftstalker,Мини-брешеступ,pn_names
Mini Branded Skimmer,Мини-скиммер,pn_names
Mini Branded Springer,Мини-спрингер,pn_names
Mini Branded Wyvern,Мини-виверна,pn_names
Mini Brindle Basenji,Мини-тигровая басенджи,pn_names
Mini Bristleback,Мини-щетиноспин,pn_names
Mini Broken King,Мини-разбитый король,pn_names
Mini Bronze Llama,Мини-бронзовая лама,pn_names
Mini Brown Bear,Мини-бурый медведь,pn_names
Mini Brown Cuckoo Hatchling,Мини-коричневый птенец кукушки,pn_names
Mini Brown Springer Kit,Мини-набор,pn_names
Mini Brown Tabby,Мини-коричневый полосатый кот,pn_names
Mini Brown Tabby Cat,Мини-кошка,pn_names
Mini Buff Assault,Мини-натиск урона,pn_names
Mini Cairn the Indomitable,Мини-Керн,pn_names
Mini Calico Cat,Мини-кошка,pn_names
Mini Candy Core Golem,Мини-голем,pn_names
Mini Candy Corn Ghoulemental,Мини-гулементаль,pn_names
Mini Candy-Corn Elemental,Мини-элементаль,pn_names
Mini Captain Grumby,Мини-капитан,pn_names
Mini Captain Mai Trin,Мини-капитан Май Трин,pn_names
Mini Captive Canach,Мини-пленник,pn_names
Mini Castoran Choya,Мини-касторан чоя,pn_names
Mini Celestial Cuckoo Hatchling,Мини-птенец,pn_names
Mini Celestial Rooster,Мини-петух,pn_names
Mini Celestial Turtle Hatchling,Мини-детёныш,pn_names
Mini Chak Lobber,Мини-чак-метатель,pn_names
Mini Charitable Gift Skritt,Мини-милостивый дар скриттов,pn_names
Mini Charr Car,Мини-автомобиль,pn_names
Mini Chest of the Mists,Мини-сундук,pn_names
Mini Chicken,Мини-цыпленок,pn_names
Mini Chieftain Utahein,Мини-вождь,pn_names
Mini Choya Pumpkin Gang,Мини-тыквенная,pn_names
Mini Chromatic Choya,Мини-хроматический,pn_names
Mini Chromatic Ooze,Мини-хроматическая,pn_names
Mini Clockheart,Мини-часовое,pn_names
Mini Collection - Set I,Мини-коллекция — Набор I,pn_names
Mini Collection - Set II,Мини-коллекция — Набор II,pn_names
Mini Collection - Set III,Мини-коллекция — набор III,pn_names
Mini Colocal,Мини-колокол,pn_names
Mini Construct of Galdra,Мини-конструкт,pn_names
Mini Convalescent Logan,Мини-выздоравливающий,pn_names
Mini Copper Skyscale Hatchling,Мини-медный,pn_names
Mini Corgi,Мини-корги,pn_names
Mini Corrupted Eagle Spirit,Мини-осквернённый,pn_names
Mini Corrupted Ox Spirit,Мини-осквернённый,pn_names
Mini Corsair Sloop,Мини-корсарский,pn_names
Mini Cozy Wintersday Griffon,Мини-уютный зимний грифон,pn_names
Mini Cozy Wintersday Jackal,Мини-уютный зимний шакал,pn_names
Mini Cozy Wintersday Mounts Pack,Мини-уютный зимний набор скакунов,pn_names
Mini Cozy Wintersday Raptor,Мини-уютный зимний раптор,pn_names
Mini Cozy Wintersday Skimmer,Мини-уютный зимний скиммер,pn_names
Mini Cozy Wintersday Springer,Мини-уютный зимний спрингер,pn_names
Mini Cream Shiba Inu,Мини-кремовая сиба-ину,pn_names
Mini Crimson Shiba Inu,Мини-багровая сиба-ину,pn_names
Mini Cyan Springer Kit,Мини-набор цианового спрингера,pn_names
Mini Cyborg Spineshell,Мини-киборг-спиншелл,pn_names
Mini Dachshund,Мини-такс,pn_names
Mini Dancing Crab,Мини-танцующий краб,pn_names
Mini Deck,Мини-колода,pn_names
Mini Demmi Beetlestone,Мини-Демми Битлстоун,pn_names
Mini Desert Fox,Мини-пустынная лиса,pn_names
Mini Desmina,Мини-Десмин,pn_names
Mini Destroyer Crab,Мини-краб-уничтожитель,pn_names
Mini Destroyer of the Last King,Мини-разрушитель последнего короля,pn_names
Mini Detached Great Jungle Wurm Head,Мини-отделённая голова Великого джунглевого червя,pn_names
Mini Devil Dog,Мини-дьявольская собак,pn_names
Mini Devourer,Мини-Пожиратель,pn_names
Mini Dhuum,Мини-Дьюм,pn_names
Mini Djinn Lamp,Мини-лампа джинна,pn_names
Mini Dolyak Calf,Мини-телёнок дольяка,pn_names
Mini Dredge Excavator,Мини-экскаватор земляных,pn_names
Mini Dredge Mining Suit,Мини-горный костюм земляных,pn_names
Mini Dredge Resonator,Мини-резонатор земляных,pn_names
Mini Dredge Strazar,Мини-страж земляных,pn_names
Mini Duckling,Мини-утёнок,pn_names
Mini Dungeons,Мини-подземелья,pn_names
Mini Dwayna's Messenger,Маленький гонец Двайны,pn_names
Mini Eye of Janthir,Мини-глаз,pn_names
Mini Fawn,Мини-оленёнок,pn_names
Mini Fire Imp,Мини-огненный бесёнок,pn_names
Mini Freshwater Crab,Мини-пресноводный краб,pn_names
Mini Garm Available,Мини-Гарм доступен,pn_names
Mini Garm,Мини-Гарм,pn_names
Mini Griffon Mount,Мини-Грифоновый скакун,pn_names
Mini Hobbyist,Мини-любитель,pn_names
Mini Hound of Balthazar,Мини-гончая,pn_names
Mini Husky,Мини-хаски,pn_names
Mini Hylek Nahualli,Мини-хилек Нахуалли,pn_names
Mini Ice Elemental,Мини-ледяной элементаль,pn_names
Mini Icebrood Construct,Мини-ледяной конструкт,pn_names
Mini Itzel Bladedancer,Мини-клинковый танцор Итцель,pn_names
Mini Itzel Shadowleaper,Мини-теневой прыгун Итцель,pn_names
Mini Jackal Mount,Мини-шакал,pn_names
Mini Karde,Мини-Карде,pn_names
Mini Kasmeer Meade,Мини-Касмир Мид,pn_names
Mini Keep Construct,Мини-хранитель крепости,pn_names
Mini Kernan,Мини-Кернан,pn_names
Mini Key of Ahdashim,Мини-ключ Ахдашима,pn_names
Mini Krait Witch,Мини-ведьма крайтов,pn_names
Mini Kryptis Skyscale,Мини-скайскейл криптисов,pn_names
Mini Kryptis,Мини-криптис,pn_names
Mini Lady Kasmeer Meade,Мини-леди Касмир Мид,pn_names
Agent Brandubh,Агент Брандуб,pn_names
Agent Zildi,Агент Зильди,pn_names
Captain Ellen Kiel,Капитан Эллен Кил,pn_names
Captain Penzan,Капитан Пензан,pn_names
Captain Thaddeus Soren,Капитан Таддеус Сорен,pn_names
Captain Zor,Капитан Зор,pn_names
Champion Aberrant Murellow,Чемпион Аберрантный мурелло,pn_names
Champion Butch,Чемпион Бутч,pn_names
Champion Diwaana,Чемпион Диваана,pn_names
Champion Ettin,Чемпион Эттин,pn_names
Champion Frainn,Чемпион Фрейн,pn_names
Champion Grath Clashcrag,Чемпион Грат Клэшкраг,pn_names
Champion Krait Hypnoss,Чемпион Крайт Гипносс,pn_names
Champion Magneton Manipulator,Чемпион Магнетоновый манипулятор,pn_names
Champion Mandulis,Чемпион Мандулис,pn_names
Champion Megalith,Чемпион Мегалит,pn_names
Champion Modniir Ulgoth,Чемпион Модниир Улгот,pn_names
Champion Morg,Чемпион Морг,pn_names
Champion Nepheretes,Чемпион Неферетес,pn_names
Champion Oni,Чемпион Они,pn_names
Champion Valravn,Чемпион Вальравн,pn_names
Historian Cerin,Историк Керин,pn_names
Historian Meliza,Историк Мелиза,pn_names
Historian Minna,Историк Минна,pn_names
Legendary Daol Brol Shiol,Легендарный Даол Брол Шиол,pn_names
Legendary Ellutherius Wintergust,Легендарный Эллутерий Винтергаст,pn_names
Scholar Alil Rodez,Учёный Алиль Родез,pn_names
Scholar Daphne,Учёная Дафна,pn_names
Scholar Morrat,Учёный Моррат,pn_names
Warden Amala,Страж Амала,pn_names
Warmaster Yulia,Военачальница Юлия,pn_names
Alice,Элис,pn_names
Anaya,Аная,pn_names
Arcanist Repth,Арканист Рептх,pn_names
Archivist Sestina,Архивариус Сестина,pn_names
Bright Shore,Светлый берег,pn_names
Captain Fa,Капитан Фа,pn_names
Central,Центр,pn_names
Champawat,Чампават,pn_names
Chorus of Thunder,Хор грома,pn_terms
Coalescence,Коалесценция,pn_names
Commander Lonai,Коммандир Лонай,pn_names
Councillor Ludo,Советник Лудо,pn_names
Cowlfang's Star,Звезда Каулфанга,pn_names
Crescendo,Крещендо,pn_names
Dragon Slash,Драконий разруб,pn_terms
Dragon Trigger,Драконий триггер,pn_terms
Effazu the Lodestar,Эффазу Путеводная Звезда,pn_names
Eladaar,Эладаар,pn_names
Elder Thruln,Старший Тралн,pn_names
Emiko,Эмико,pn_names
Engineer Hu,Инженер Ху,pn_names
Explorer Campbell,Исследователь Кэмпбелл,pn_names
Finisher,Финишер,pn_names
Fissure of Woe,Разлом Скорби,pn_world_map
Forge Master Hilina,Мастер кузницы Хилина,pn_names
Gadd's Hologram,Голограмма Гэдда,pn_terms
Gahn Towerbreaker,"Ган, Крушитель Башен",pn_names
Gift of Energy,Дар энергии,pn_terms
Gift of Entertainment,Дар веселья,pn_terms
Gift of Metal,Дар металла,pn_terms
Gift of Wood,Дар дерева,pn_terms
Grand Vizier Utumishi,Великий визирь Утумиши,pn_names
Grasp of Joko,Хватка Джоко,pn_world_map
Havroun Weibe,Хаврун Вайбе,pn_names
Henge of Denravi,Хендж Денрави,pn_world_map
High Priestess Ecolotl,Верховная жрица Эколотль,pn_names
Historian Taraz,Историк Тараз,pn_names
Horrik,Хоррик,pn_names
Howl the Brazen,Хоул Наглый,pn_names
Hunter Block,Блок Охотника,pn_terms
Junction Haven,Перекрёстная гавань,pn_world_map
Kaana Miatli,Каана Миатли,pn_names
Kalla,Калла,pn_names
Kispik,Киспик,pn_names
Lakoon'ta,Лакуон’та,pn_names
Leaf of Kudzu,Лист кудзу,pn_terms
Leyah,Лея,pn_names
Lieutenant Davel,Лейтенант Давел,pn_names
Lightbringer Ives,Светоносец Айвс,pn_names
Lionguard Dansky,Львиный страж Дански,pn_names
Lunt,Лун,pn_names
Maelstrom,Мальстрём,pn_names
Magnus the Bloody-Handed,Магнус Кровавая Рука,pn_names
Mantra,Мантра,pn_names
Meep the Second,Мяу второй,pn_names
Mi Shen,Ми Шэнь,pn_names
Mik'heel Bockclaw,Мик’хил Боцклав,pn_names
Mingli,Мингли,pn_names
Minister of Security,Министр безопасности,pn_names
Minister Wi,Министр Ви,pn_names
Mordrem Mangler,Мордрем-исполин,pn_names
Mouth of Mordremoth,Пасть Мордремота,pn_world_map
Mr. Cluckers,Господин Кудахтер,pn_names
Mr. Quiggles,Господин Квигглс,pn_names
Mursaat,Мурсаат,pn_terms
Niamh,Ниам,pn_names
No Quarter,Никакой пощады,pn_names
Ogden,Огден,pn_names
Oriel,Ориэль,pn_names
Outrunner Jankott'cha,Бегун Джанккот’ча,pn_names
Pastkeeper Oldoo,Хранитель прошлого Олду,pn_names
Ping,Пинг,pn_names
Qadim the Peerless,Кадим Несравненный,pn_names
Rabsovich,Рабсович,pn_names
Realm of Torment,Царство Мучений,pn_world_map
Renho,Ренхо,pn_names
Rising Bloom,Распускающийся цветок,pn_names
Ruinshard Scuttler,Руиншардский краб,pn_names
Saraid,Сараид,pn_names
Sasha,Саша,pn_names
Scholar Inkblood,Учёный Инкблад,pn_names
Scholar Kobbi,Учёный Кобби,pn_names
Scout Anisa,Разведчица Аниса,pn_names
Seize the Awkward,Улови неловкость,pn_names
Shaman Palak,Шаман Палак,pn_names
Shimmer Bauble,Мерцающий шар,pn_names
Sicaea the Shrouded,"Сикаэя, облачённая в саван",pn_names
Slayer of Issormir,Убийца Иссормира,pn_names
Sly Crew,Команда Слаев,pn_names
Sparkk,Спаркк,pn_names
Speaker Mahuti,Оратор Махути,pn_names
Steag Frostbeard,Стег Фростбирд,pn_names
Steward Cecco,Управляющий Чекко,pn_names
Storms of Winter,Зимние бури,pn_terms
Superior Sigil of Air,Высший сигил воздуха,pn_terms
Superior Sigil of Energy,Высший сигил энергии,pn_terms
Superior Sigil of Fire,Высший сигил огня,pn_terms
Taccius Stormbane,Такциус Штормклин,pn_names
Tactician Syska,Тактик Сыска,pn_names
Tecla the Venerable,Текла Почтенная,pn_names
Tetra Earthcall,"Тетра, призыв земли",pn_names
Teyrna,Тейрна,pn_names
The Realm of Dreams,Царство снов,pn_world_map
The Tower of Nightmares,Башня Кошмаров,pn_world_map
Tomb of Primeval Kings,Гробница Первобытных Королей,pn_world_map
Tooth of Frostfang,Зуб Ледяного Клыка,pn_terms
Toxic Alliance,Токсичный Альянс,pn_terms
Twisted Skelk,Искажённый скелк,pn_names
Valravn,Вальравн,pn_names
Varonos Narrijoo,Варонос Нарриджу,pn_names
Vial of Liquid Flame,Флакон жидкого пламени,pn_terms
Vigil Tactician Blazefur,Тактик Дозора Блейзфер,pn_names
Vinetooth Prime,Винетоот Прайм,pn_names
Volden,Волден,pn_names
Warden Hywel,Варден Хайвел,pn_names
Wark,Варк,pn_names
Warmaster Labofski,Военачальник Лабофски,pn_names
Watch Commander Talon,Комендант Талон,pn_names
Wroda the Quick,Врода Быстрая,pn_names
Xapp,Хапп,pn_names
Zaishen,Зайшен,pn_terms
Zildi's Assist-o-Matic,Автоматизированный помощник Зилди,pn_terms
2-MULT,2-MULT,pn_names
3VCTN,3VCTN,pn_names
6-RUS,6-RUS,pn_names
ACLM-0403,ACLM-0403,pn_names
AER-0000,AER-0000,pn_names
BDYGD-7i,BDYGD-7i,pn_names
BLING-9009,BLING-9009,pn_names
BNDL-2,BNDL-2,pn_names
BUY-4373,BUY-4373,pn_names
BY-TK10,BY-TK10,pn_names
CL34R,CL34R,pn_names
CLX-122f,CLX-122f,pn_names
CLX-122m,CLX-122m,pn_names
CLX-122r,CLX-122r,pn_names
CLX-141r,CLX-141r,pn_names
COM-322r,COM-322r,pn_names
DEL-X99,DEL-X99,pn_names
FIX-0255,FIX-0255,pn_names
HY-5000,HY-5000,pn_names
IG-6417,IG-6417,pn_names
KR-421,KR-421,pn_names
KR-422,KR-422,pn_names
KR-424,KR-424,pn_names
MRC-6478,MRC-6478,pn_names
N4-SR,N4-SR,pn_names
OVR-9000,OVR-9000,pn_names
PAC-7000,PAC-7000,pn_names
PM-155d,PM-155d,pn_names
PM-450b,PM-450b,pn_names
PM-632n,PM-632n,pn_names
PM-700z,PM-700z,pn_names
PM-900a,PM-900a,pn_names
RCK-7550,RCK-7550,pn_names
TRD-0B4,TRD-0B4,pn_names
WST-8100,WST-8100,pn_names
Mark I,Марк I,pn_names
Champion Mark I Golem,Чемпион: Голем Марк I,pn_names
Champion Mark II Golem,Чемпион: Голем Марк II,pn_names
Veteran Mark I Golem,Ветеран: Голем Марк I,pn_names
Veteran Mark II Golem,Ветеран: Голем Марк II,pn_names
Champion Inquest Power Suit Mark III,Чемпион: Силовой костюм Инквеста Марк III,pn_names
Champion Mark II YF-Gold,Чемпион: YF-Gold Марк II,pn_names
Kresdor<br>Kenning,Кресдор<br>Кеннинг,pn_world_map
The Golem<br>Mines,Големные<br>шахты,pn_world_map
The Grand Temple<br>of the Pantheon,Великий храм<br>Пантеона,pn_world_map
The Grekvelnn<br>Burrows,Норы<br>Греквелнн,pn_world_map
The Grove<br>(Bower),Роща<br>(Беседка),pn_world_map
The Grove<br>(Garden),Роща<br>(Сад),pn_world_map
The Grove<br>(Omphalos Chamber),Роща<br>(Зал Омфалоса),pn_world_map
The Grove<br>(Terrace),Роща<br>(Терраса),pn_world_map
The Quester's<br>Terrace,Терраса<br>искателей,pn_world_map
The Shattered<br>Keep,Расколотая<br>крепость,pn_world_map
The Wurm's<br>Gullet,Глотка<br>червя,pn_world_map
The<br>Sternquarters,Кормовые<br>каюты,pn_world_map
Champion Avel Stonejaw,Чемпион: Авель Камнечелюсть,pn_names
Champion Braek Baredfang,Чемпион: Брэк Бэрдфанг,pn_names
Champion Branded,Чемпион: Клейменные,pn_names
Champion Brotherhood Scrapper,Чемпион: Скраппер Братства,pn_names
Champion Cave Troll,Чемпион: Пещерный тролль,pn_names
Champion First Mate Horrik,Чемпион: Первый помощник Хоррик,pn_names
Champion Forged Ambusher,Чемпион: Кованый засадник,pn_names
Champion Forged Brutalizer,Чемпион: Кованый громила,pn_names
Champion Forged Punisher,Чемпион: Кованый каратель,pn_names
Champion Fycros Venomweeper,Чемпион: Файкрос Ядоплач,pn_names
Champion Icebrood Kodan,Чемпион: Кодан ледяного отродья,pn_names
Champion Janthiri Reindeer,Чемпион: Джантирский северный олень,pn_names
Champion Matriarch Sheerfeather,Чемпион: Шероховатая матриарх,pn_names
Champion Mordrem Husk,Чемпион: Мордрем-шелуха,pn_names
Champion Naga Stormcaller,Чемпион: Наг-Заклинатель Бурь,pn_names
Champion Nature Elemental,Чемпион: Элементаль природы,pn_names
Champion Plains Wurm,Чемпион: Равнинный червь,pn_names
Champion Risen Abomination,Чемпион: Восставшее чудовище,pn_names
Champion Risen Captain,Чемпион: Восставший капитан,pn_names
Champion Scragglebeard,Чемпион: Скрагглборд,pn_names
Champion Spineshell Impaler,Чемпион: Колючепанцирный пронзатель,pn_names
Champion Tazula Mindclouder,Чемпион: Тазула Затуманивающая Разум,pn_names
Champion Thrash Tailclobber,Чемпион: Молотилка Хвостобой,pn_names
Champion Undersea Ice Wurm,Чемпион: Подводный ледяной змей,pn_names
Champion War Beast,Чемпион: Боевой зверь,pn_names
Champion Xedra Tahz Tahom,Чемпион: Кседра Тахз Тахом,pn_names
Champion Xocotl Crusher,Чемпион: Крушитель Хокотль,pn_names
Champion Yasia Glacierfalls,Чемпион: Ясия Ледникопад,pn_names
Veteran Ancient Ember,Ветеран: Древний уголёк,pn_names
Veteran Anomaly,Ветеран: Аномалия,pn_names
Veteran Awakened General,Ветеран: Генерал пробужденных,pn_names
Veteran Branded Devourer,Ветеран: Клейменный пожиратель,pn_names
Veteran Crazed Ettin,Ветеран: Обезумевший эттин,pn_names
Veteran Karas the Undying,Ветеран: Карас Бессмертный,pn_names
Veteran Mushroom King,Ветеран: Грибной король,pn_names
Veteran Risen Acolyte,Ветеран: Восставший аколит,pn_names
Veteran Risen Krait Damoss,Ветеран: Восставший крайт Дамосс,pn_names
Veteran Risen Krait Hypnoss,Ветеран: Восставший крайт Гипносс,pn_names
Veteran Sand Wurm,Ветеран: Песчаный червь,pn_names
Veteran Skelk Scavenger,Ветеран: Скелк-падальщик,pn_names
Veteran Xocotl Flopper,Ветеран: Шлепальщик Хокотль,pn_names
"Champion Adal, Unyielding Firmament","Чемпион: Адал, Непреклонная Твердь",pn_names
Champion Aetherblade Grenadier,Чемпион: Гренадер Эфирных клинков,pn_names
Champion Agasaya,Чемпион: Агасайя,pn_names
Champion Alpha Wolf,Чемпион: Альфа-волк,pn_names
Champion Ancient Ghost Mage,Чемпион: Древний призрачный маг,pn_names
"Champion Aszar, Swinging Pendulum","Чемпион: Асзар, Качающийся Маятник",pn_names
Champion Awakened Abhorrence,Чемпион: Пробуждённое омерзение,pn_names
Champion Awakened Occultist,Чемпион: Пробуждённый оккультист,pn_names
Champion Badly Confused Ettin,Чемпион: Вконец растерянный эттин,pn_names
Champion Blighted Diarmid,Чемпион: Осквернённый Диармид,pn_names
Champion Bloodstone Elemental Mauler,Чемпион: Элементаль-маулер кровавого камня,pn_names
Champion Brandclaw,Чемпион: Клеймокоготь,pn_names
Champion Branded Fish,Чемпион: Клеймённая рыба,pn_names
Champion Branded Griffon,Чемпион: Клеймённый грифон,pn_names
Champion Branded Griffon version,"Чемпион: Клеймённый грифон, версия",pn_names
Champion Branded Human version,"Чемпион: Клеймённый человек, версия",pn_names
Champion Branded Minion,Чемпион: Клеймённый прислужник,pn_names
Champion Branded Riftstalker,Чемпион: Клеймённый охотник разломов,pn_names
Champion Cabochon,Чемпион: Кабошон,pn_names
Champion Chak Blitzer,Чемпион: Чак-блицер,pn_names
Champion Chaotic Leyspark,Чемпион: Хаотическая лей-искра,pn_names
Champion Chieftain Krella,Чемпион: Вождь Крелла,pn_names
Champion Commander Siegecrusher,Чемпион: Командир Осадолом,pn_names
Champion Crackedhoof,Чемпион: Трещинокопыт,pn_names
Champion Crackling Brandspark,Чемпион: Потрескивающая искра Клейма,pn_names
Champion Destroyer Harpy,Чемпион: Гарпия-разрушительница,pn_names
Champion Dominion Duelist/Engineer/Marksman/Scout/Soldier/Spy,Чемпион: Дуэлянт/Инженер/Стрелок/Разведчик/Солдат/Шпион Доминиона,pn_names
Champion Dredge Overseer,Чемпион: Дредж-надзиратель,pn_names
Champion Dunechaser,Чемпион: Дюногон,pn_names
Champion Earth Elemental,Чемпион: Элементаль земли,pn_names
Champion Earth Elemental/Champion Ember/Ice Elemental,Чемпион: Элементаль земли/Чемпион: Уголёк/Элементаль льда,pn_names
Champion Enbilulu,Чемпион: Энбилулу,pn_names
Champion Enchanted Protector/Spell Guardian/Staff/Sword/Torch,Чемпион: Зачарованный защитник/Страж заклинаний/Посох/Меч/Факел,pn_names
Champion Exterminator IG-04,Чемпион: Истребитель IG-04,pn_names
Champion Fallen Kodan Berserker,Чемпион: Падший кодан-берсерк,pn_names
Champion Flame Effigy,Чемпион: Чучело Пламени,pn_names
Champion Fluffy,Чемпион: Пушистик,pn_names
Champion Forged Cannonade,Чемпион: Кованый канонир,pn_names
Champion Forged Officer,Чемпион: Кованый офицер,pn_names
Champion Forged Sorcerer,Чемпион: Кованый чародей,pn_names
Champion Forged Warmonger,Чемпион: Кованый разжигатель войны,pn_names
Champion Forged Wildhound,Чемпион: Кованая дикая гончая,pn_names
Champion Giant Spotted Beetle,Чемпион: Гигантский пятнистый жук,pn_names
Champion Grinteeth,Чемпион: Скалозуб,pn_names
Champion Havocwreaker,Чемпион: Разоритель,pn_names
Champion Hierarch Alu,Чемпион: Иерарх Алу,pn_names
Champion Hylek Cuicani,Чемпион: Хилек Куикани,pn_names
Champion IGO,Чемпион: IGO,pn_names
Champion Ice Drake Broodmother,Чемпион: Мать выводка ледяных дрейков,pn_names
Champion Ice Imp,Чемпион: Ледяной бес,pn_names
Champion Icebrood Fish,Чемпион: Ледяная рыба,pn_names
Champion Icebrood Norn,Чемпион: Ледяной норн,pn_names
Champion Icebrood Voice,Чемпион: Ледяной Голос,pn_names
Champion Ironfrost Champion,Чемпион: Чемпион Айронфроста,pn_names
Champion Jackdaw Captain,Чемпион: Капитан галок,pn_names
Champion Jade Armor/Bow,Чемпион: Нефритовый доспех/лук,pn_names
Champion Jade Bow,Чемпион: Нефритовый лук,pn_names
Champion Jotun Magekiller,Чемпион: Йотун-магоубийца,pn_names
Champion Lady Kahraman,Чемпион: Леди Кахраман,pn_names
Champion Lady Shamshir,Чемпион: Леди Шамшир,pn_names
Champion Man-Eater,Чемпион: Людоед,pn_names
Champion Molten Desecrator,Чемпион: Расплавленный осквернитель,pn_names
Champion Molten Fire Shaman,Чемпион: Расплавленный шаман огня,pn_names
Champion Monifa the Wrathful,Чемпион: Монифа Гневная,pn_names
Champion Mordant Crescent Hierarch,Чемпион: Иерарх Мордантского полумесяца,pn_names
Champion Mordrem Vile Thrasher,Чемпион: Мерзкий мордрем-молотильщик,pn_names
Champion Muckstalker,Чемпион: Грязеброд,pn_names
Champion Naga Tide Priest,Чемпион: Нага-жрец приливов,pn_names
Champion Ogotl Priestess,Чемпион: Жрица Оготль,pn_names
Champion Putrescent Skelk,Чемпион: Гниющий скелк,pn_names
Champion Reef Rider,Чемпион: Рифовый наездник,pn_names
Champion Rimewhisper Minotaur,Чемпион: Минотавр Инеешёпот,pn_names
Champion Risen Andarzbad,Чемпион: Восставший Андарзбад,pn_names
Champion Risen Drake Broodmother,Чемпион: Восставшая мать выводка дрейков,pn_names
Champion Risen Gladiator,Чемпион: Восставший гладиатор,pn_names
Champion Risen Hylek Petmaster,Чемпион: Восставший хилек-зверовод,pn_names
Champion Risen King,Чемпион: Восставший король,pn_names
Champion Risen Putrifier,Чемпион: Восставший гноитель,pn_names
Champion Risen Spider,Чемпион: Восставший паук,pn_names
Champion Safiri the Carver,Чемпион: Сафири Резчица,pn_names
Champion Sandsnare,Чемпион: Песколов,pn_names
Champion Separatist Instigator,Чемпион: Подстрекатель сепаратистов,pn_names
Champion Shadow Beast,Чемпион: Теневой зверь,pn_names
Champion Shardcrest,Чемпион: Осколкогрив,pn_names
Champion Sharky the Destroyer,Чемпион: Шарки Разрушитель,pn_names
Champion Shoot of Stormbringer,Чемпион: Побег Громовержца,pn_names
Champion Silkears the Fierce,Чемпион: Шелкоух Свирепый,pn_names
Champion Simoom the Accursed,Чемпион: Самум Проклятый,pn_names
Champion Sons of Svanir Bowman,Чемпион: Лучник Сынов Сванира,pn_names
Champion Steam Ogre,Чемпион: Паровой огр,pn_names
Champion Sulfurscale,Чемпион: Серочешуй,pn_names
Champion Suneh Stormbringer,Чемпион: Суне Громовержец,pn_names
Champion Svanir Shaman Chief,Чемпион: Вождь шаманов Сванира,pn_names
Champion Svanir Tyrant,Чемпион: Тиран Сванира,pn_names
Champion Tactician Swikk,Чемпион: Тактик Свикк,pn_names
Champion Tamini Mogul,Чемпион: Вождь тамини,pn_names
Champion The Terror of the Sands,Чемпион: Ужас Песков,pn_names
Champion Tohg Atta Awoth,Чемпион: Тог Атта Авот,pn_names
Champion Toxic Warlock,Чемпион: Токсичный чернокнижник,pn_names
Champion Transcended Archomorph/Boar/Razortooth/Stinger/Swiftwing,Чемпион: Превзошедший аркоморф/вепрь/острозуб/жалохвост/быстрокрыл,pn_names
Champion Unbound Djinn,Чемпион: Несвязанный джинн,pn_names
Champion Unchained Kingpin,Чемпион: Раскованный главарь,pn_names
Champion Uussh Visshta,Чемпион: Уушш Вишшта,pn_names
Champion Vebis the Inquisitor,Чемпион: Вебис Инквизитор,pn_names
Champion Victurus the Shattered,Чемпион: Виктурус Расколотый,pn_names
Champion Weapons,Чемпионское оружие,pn_names
Champion White Mantle Bloodstone Savant,Чемпион: Знаток кровавого камня Белой Мантии,pn_names
Champion Zawadi the Turncoat,Чемпион: Завади Перебежчик,pn_names
